"crime_id","report_number","address","offense_description","offense_category","state_offense_code","arrest_charge","charge_description","incident_timestamp","incident_time","day_of_week","hour_of_day","year","scout_car_area","precinct","block_id","neighborhood","council_district","zip_code","longitude","latitude","oid","Geometry"
"3011650","1701090347","Freda St & Freda Ave","ROBBERY","ROBBERY","1201","12000","ROBBERY","01/10/2017 05:35:00","00:35:00","2","0","2017","0208","02","261635356003002","Aviation Sub","7","48204","-83.1597770915287","42.351674781845","1","POINT (-83.15977709199996 42.35167478200003)"
"3025623","1702150169","E Remington Ave & Omira St","ARSON","ARSON","2099","20000","ARSON","02/15/2017 22:40:00","17:40:00","3","17","2017","1101","11","261635081004009","Nolan","3","48203","-83.096277601355","42.4422652806048","2","POINT (-83.09627760099994 42.44226528100006)"
"3033332","1703020033","Bringard Dr & Cordell St","ARSON","ARSON","2099","20000","ARSON","03/02/2017 12:20:00","07:20:00","4","7","2017","0903","09","261635001002002","Regent Park","3","48205","-82.9512181888012","42.4465566875531","3","POINT (-82.95121818899997 42.446556688000044)"
"3043183","1703270355","S Ethel St & Gleason St","FRAUD - IMPERSONATION","FRAUD","2603","26003","FRAUD - IMPERSONATION","03/18/2017 08:00:00","04:00:00","6","4","2017","0415","04","261635248002007","Boynton","6","48217","-83.1574460302837","42.2614504218687","4","POINT (-83.15744602999996 42.26145042200005)"
"3043521","1703280245","8 Mile Rd & Binder St","FAMILY - OTHER","FAMILY OFFENSE","3803","38003","FAMILY - OTHER","03/22/2017 08:00:00","04:00:00","3","4","2017","1102","11","261635068003007","Farwell","3","48234","-83.0649405105278","42.447255302586","5","POINT (-83.06494051099997 42.44725530300008)"
"3045060","1704010044","Vassar Ave & Greenview Ave","ROBBERY","ROBBERY","1201","12000","ROBBERY","04/01/2017 11:00:00","07:00:00","6","7","2017","0803","08","261635407001010","O'Hair Park","1","48219","-83.2254814330191","42.4335335106949","6","POINT (-83.22548143299997 42.433533511000064)"
"3046609","1704050065","Mason & Elsmere St","ROBBERY","ROBBERY","1201","12000","ROBBERY","04/05/2017 13:50:00","09:50:00","3","9","2017","0408","04","261635242006003","Springwells","6","48209","-83.1341673432455","42.3047167091255","7","POINT (-83.13416734299994 42.30471670900005)"
"3046060","1704040001","Cass Ave & W Canfield St","ARSON","ARSON","2099","20000","ARSON","04/04/2017 07:50:00","03:50:00","2","3","2017","0309","03","261635203001000","Midtown","6","48201","-83.0641393924444","42.3515777860365","8","POINT (-83.06413939199996 42.351577786000064)"
"3046854","1704050314","Saint Marys St & Majestic St","LARCENY FROM GROUNDS","LARCENY","2307","23009","LARCENY FROM GROUNDS","04/06/2017 00:53:00","20:53:00","3","20","2017","0611","06","261635455002001","Warren Ave Community","7","48228","-83.2037554681013","42.3459597674119","9","POINT (-83.20375546799994 42.34595976700007)"
"3047921","1704080028","Pickford St & Evergreen Rd","ARSON","ARSON","2099","20000","ARSON","04/08/2017 09:00:00","05:00:00","6","5","2017","0806","08","261635411001008","Holcomb Community","1","48219","-83.2386209585946","42.4244903197682","10","POINT (-83.23862095899995 42.424490320000075)"
"3049686","1704110374","Margareta St & Oak Dr","TRESPASS","OTHER","5701","57001","TRESPASS","04/12/2017 00:10:00","20:10:00","2","20","2017","1209","12","261635384001009","University District","2","48221","-83.138531832805","42.4280592756401","11","POINT (-83.13853183299994 42.428059276000056)"
"3051611","1704160245","Russell St & Maple St","ROBBERY","ROBBERY","1201","12000","ROBBERY","04/17/2017 00:02:00","20:02:00","7","20","2017","0709","07","261635170001005","Lafayette Park","5","48207","-83.0379435553892","42.3423674551658","12","POINT (-83.03794355499997 42.342367455000044)"
"3054365","1704230259","Scripps St & Newport St","LARCENY - OTHER","LARCENY","2307","23007","LARCENY - OTHER","04/23/2017 20:14:00","16:14:00","7","16","2017","0512","05","261635133001002","Jefferson Chalmers","4","48215","-82.938813361673","42.3597226206128","13","POINT (-82.93881336199996 42.35972262100006)"
"3058085","1705020232","Eaton St & Cheyenne St","RUNAWAY","RUNAWAY","7070","70000","RUNAWAY","04/26/2017 16:00:00","12:00:00","3","12","2017","0203","02","261635371003012","Bethune Community","2","48227","-83.1745881402236","42.3973416053179","14","POINT (-83.17458813999997 42.397341605000065)"
"3062755","1705110014","Brace St & W Warren Ave","ROBBERY","ROBBERY","1201","12000","ROBBERY","05/11/2017 08:05:00","04:05:00","4","4","2017","0610","06","261635459001006","Warrendale","7","48228","-83.2231599527646","42.3433126695432","15","POINT (-83.22315995299994 42.343312670000046)"
"3066513","1705190265","Orchard Ave & Tireman Ave","ARSON","ARSON","2099","20000","ARSON","05/19/2017 12:32:00","08:32:00","5","8","2017","0207","02","261635355003009","Fiskhorn","7","48228","-83.1881077688891","42.351061609948","16","POINT (-83.18810776899994 42.351061610000045)"
"3068459","1705240065","W Outer Dr & Avon Ave","LARCENY - OTHER","LARCENY","2307","23007","LARCENY - OTHER","05/19/2017 19:30:00","15:30:00","5","15","2017","0807","08","261635405001010","Evergreen-Outer Drive","1","48219","-83.2259926182156","42.4191285838503","17","POINT (-83.22599261799996 42.41912858400008)"
"3077177","1706130407","Lawton St & Blaine St","ROBBERY","ROBBERY","1201","12000","ROBBERY","06/14/2017 05:45:00","01:45:00","3","1","2017","1007","10","261635332001005","Jamison","5","48206","-83.10885868128","42.368326604196","18","POINT (-83.10885868099996 42.36832660400006)"
"3079074","1706180077","Linwood St & Columbus St","ARSON","ARSON","2099","20000","ARSON","06/18/2017 16:01:00","12:01:00","7","12","2017","1007","10","261635333001004","Wildemere Park","5","48206","-83.1026911890073","42.3643872094926","19","POINT (-83.10269118899998 42.36438720900003)"
"3080030","1706200168","Hyde Park Rd & Antietam Ave","LARCENY - OTHER","LARCENY","2307","23007","LARCENY - OTHER","06/20/2017 18:00:00","14:00:00","2","14","2017","0709","07","261635169001007","Elmwood Park","5","48207","-83.0330445890533","42.3458998294011","20","POINT (-83.03304458899999 42.345899829000075)"
"3081880","1706240072","Van Dyke St & Willard St","LARCENY - OTHER","LARCENY","2307","23007","LARCENY - OTHER","06/23/2017 23:30:00","19:30:00","5","19","2017","0705","07","261635160003000","Gratiot-Grand","5","48214","-83.0115971829339","42.374565302546","21","POINT (-83.01159718299994 42.374565303000054)"
"3082097","1706240291","Cooley St & Karl St","FRAUD - IMPERSONATION","FRAUD","2603","26003","FRAUD - IMPERSONATION","06/24/2017 20:00:00","16:00:00","6","16","2017","0805","08","261635414002017","Old Redford","1","48219","-83.2598998696427","42.4227927033568","22","POINT (-83.25989986999997 42.42279270300003)"
"3082915","1706260375","N Green St & Navy St","ARSON","ARSON","2099","20000","ARSON","06/26/2017 08:00:00","04:00:00","1","4","2017","0409","04","261635240003002","Springwells","6","48209","-83.1198926815179","42.3119167936886","23","POINT (-83.11989268199994 42.31191679400007)"
"3083419","1706270466","Pembroke Ave & Murray Hill St","ROBBERY","ROBBERY","1201","12000","ROBBERY","06/28/2017 01:00:00","21:00:00","2","21","2017","0804","08","261635402003004","Greenfield","2","48235","-83.2087307605129","42.4374451972051","24","POINT (-83.20873076099997 42.437445197000045)"
"3083787","1706280323","Holmur St & Tuxedo St","ROBBERY","ROBBERY","1201","12000","ROBBERY","06/26/2017 10:00:00","06:00:00","1","6","2017","1004","10","261635309003010","Nardin Park","7","48204","-83.1271558569754","42.3793352649797","25","POINT (-83.12715585699993 42.379335265000066)"
"3087119","1707060151","Woodward Ave & E Canfield St","LARCENY - OTHER","LARCENY","2307","23007","LARCENY - OTHER","07/06/2017 16:00:00","12:00:00","4","12","2017","0309","03","261635175002009","Midtown","6","48201","-83.0614671457971","42.3527149055017","26","POINT (-83.06146714599998 42.352714906000074)"
"3088449","1707090176","Dwight St & Parkview St","ROBBERY","ROBBERY","1201","12000","ROBBERY","07/09/2017 11:45:00","07:45:00","7","7","2017","0711","07","261635157002000","Joseph Berry Sub","5","48214","-82.9807201014677","42.3545478909557","27","POINT (-82.98072010099997 42.35454789100004)"
"3088710","1707100085","San Juan Dr & Pembroke Ave","MOTOR VEHICLE THEFT","STOLEN VEHICLE","2401","24001","MOTOR VEHICLE THEFT","07/10/2017 07:00:00","03:00:00","1","3","2017","1203","12","261635389002004","Oak Grove","2","48221","-83.1471715939504","42.438753035863","28","POINT (-83.14717159399999 42.43875303600004)"
"3093869","1707210265","Ewald Cir & Petoskey Ave","LARCENY - OTHER","LARCENY","2307","23007","LARCENY - OTHER","07/20/2017 16:00:00","12:00:00","4","12","2017","1002","10","261635304002004","Oakman Blvd Community","2","48238","-83.1381295429183","42.3921535745988","29","POINT (-83.13812954299993 42.392153575000066)"
"3102905","1708110014","Martin St & Parkwood St","ARSON","ARSON","2099","20000","ARSON","08/11/2017 08:46:00","04:46:00","5","4","2017","0405","04","261635257003007","Claytown","6","48210","-83.1263651194102","42.3295376626474","30","POINT (-83.12636511899996 42.32953766300005)"
"3103462","1708120115","Wykes St & Diversey","RUNAWAY","RUNAWAY","7070","70000","RUNAWAY","08/12/2017 06:00:00","02:00:00","6","2","2017","0210","02","261635265002001","Midwest","6","48210","-83.1419594818899","42.3495967756792","31","POINT (-83.14195948199995 42.349596776000055)"
"3104015","1708130316","Clough St & Runyon St","DAMAGE TO PROPERTY","DAMAGE TO PROPERTY","2900","29000","DAMAGE TO PROPERTY","08/14/2017 06:25:00","02:25:00","1","2","2017","0904","09","261635049003015","Von Steuben","3","48234","-83.0066421856506","42.4237812747055","32","POINT (-83.00664218599997 42.42378127500007)"
"3105302","1708160329","Clements St & Holmur St","LARCENY - OTHER","LARCENY","2307","23007","LARCENY - OTHER","08/16/2017 08:00:00","04:00:00","3","4","2017","1002","10","261635304001003","Oakman Blvd Community","7","48238","-83.1338592983118","42.3896678357493","33","POINT (-83.13385929799995 42.38966783600006)"
"3105578","1708170150","Chandler Park Dr & Guilford St","LARCENY - OTHER","LARCENY","2307","23007","LARCENY - OTHER","08/17/2017 00:00:00","20:00:00","3","20","2017","0505","05","261635015005026","Cornerstone Village","4","48224","-82.9303713159744","42.4121483990256","34","POINT (-82.93037131599993 42.412148399000046)"
"3109173","1708250252","Brace St & W Warren Ave","ROBBERY","ROBBERY","1201","12000","ROBBERY","08/25/2017 23:55:00","19:55:00","5","19","2017","0610","06","261635459001006","Warrendale","7","48228","-83.2231599527646","42.3433126695432","35","POINT (-83.22315995299994 42.343312670000046)"
