MMSI," ""IMO"""," ""Status""","     ""RecvTime""","         ""MessageID""",NavigationalStatus,"   ""ROT""","  ""SOG""","  ""PositionAccuracy""",longitude,latitude,"  ""Altitude""","  ""COG""","  ""TrueHeading""",RAIM,OffPosition,,
201326644,NULL,OK,10-04-2017 19:53,1,9,40.2,0.4,0,-76.775217,17.9556,-1,355,72,0,0,,
201326763,NULL,OK,10-04-2017 20:03,1,7,182.8,1.3,1,-77.082233,17.841017,-1,3.4,5,1,0,,
215120000,NULL,OK,05-04-2017 16:10,1,0,0,0,1,-76.7736,17.954717,-1,204,348,0,0,,
215120000,NULL,OK,05-04-2017 16:26,1,0,0,0,0,-76.773433,17.954783,-1,149,339,0,0,, 
215120000,NULL,OK,05-04-2017 16:43,1,0,0,0,0,-76.7735,17.954817,-1,291,339,0,0,,
215120000,NULL,OK,05-04-2017 16:59,1,0,0,0,0,-76.773517,17.954683,-1,291,342,0,0,,
215120000,NULL,OK,05-04-2017 17:15,1,0,0,0,0,-76.7736,17.95465,-1,291,345,0,0,,
215120000,NULL,OK,05-04-2017 17:31,1,0,0,0,0,-76.773767,17.9546,-1,306,350,0,0,,
215120000,NULL,OK,05-04-2017 17:47,1,0,0,0,0,-76.773833,17.954633,-1,200,354,0,0,,
215120000,NULL,OK,05-04-2017 18:03,1,0,0,0,0,-76.7738,17.954617,-1,200,353,0,0,,
215120000,NULL,OK,05-04-2017 18:19,1,0,0,0,0,-76.7737,17.95465,-1,200,349,0,0,,
215120000,NULL,OK,05-04-2017 18:35,1,0,0,0,0,-76.77375,17.954617,-1,200,354,0,0,,
215120000,NULL,OK,05-04-2017 18:52,1,0,0,0.1,0,-76.773683,17.9547,-1,91,350,0,0,,
215120000,NULL,OK,05-04-2017 19:08,1,0,0,0.1,0,-76.77325,17.95485,-1,65,332,0,0,,
215120000,NULL,OK,05-04-2017 19:24,1,0,0,0.2,0,-76.772617,17.9554,-1,35,299,0,0,,
215120000,NULL,OK,05-04-2017 19:40,1,0,0,0,0,-76.772317,17.956217,-1,18,260,0,0,,
215120000,NULL,OK,05-04-2017 19:52,1,0,0,0,0,-76.7724,17.956517,-1,343,250,0,0,,
215120000,NULL,OK,05-04-2017 19:56,1,0,0,0.3,0,-76.7726,17.9566,-1,317,240,0,0,,
215120000,NULL,OK,05-04-2017 20:14,1,0,0,0.1,0,-76.775233,17.956967,-1,163,111,0,0,,
215120000,NULL,OK,05-04-2017 20:31,1,0,0,0,0,-76.77515,17.957233,-1,79,127,0,0,,
215120000,NULL,OK,05-04-2017 20:47,1,0,0,0,0,-76.775133,17.957183,-1,238,126,0,0,,
215120000,NULL,OK,05-04-2017 20:50,1,0,0,0,0,-76.775183,17.95715,-1,241,124,0,0,,
215120000,NULL,OK,05-04-2017 21:03,1,0,0,0.2,0,-76.775017,17.957333,-1,230,131,0,0,,
215120000,NULL,OK,05-04-2017 21:19,1,0,0,0,0,-76.775033,17.957317,-1,220,128,0,0,,
215120000,NULL,OK,05-04-2017 21:35,1,0,0,0,0,-76.775017,17.957333,-1,20,132,0,0,,
215120000,NULL,OK,05-04-2017 21:50,1,0,0,0,0,-76.775083,17.9573,-1,209,126,0,0,,
215120000,NULL,OK,05-04-2017 21:55,1,0,0,0.2,0,-76.774967,17.957433,-1,44,133,0,0,,
215120000,NULL,OK,05-04-2017 22:07,1,0,0,0,0,-76.775083,17.957183,-1,197,120,0,0,,
